Cluster,Dominant_Timepoint,Responders,NonResponders,OddsRatio,PValue,Clinical_Classification
0,Baseline,107,168,1.0730119666175628,0.6331567352143654,Neutral
1,Baseline,163,712,0.27834764804144224,4.3685883276320324e-42,Resistance Associated
2,Baseline,170,338,0.8136094695081167,0.0498734431312674,Neutral
3,Baseline,106,91,2.0487799561413063,1.25008389031536e-06,Response Associated
4,Baseline,132,203,1.100164206073066,0.45689169555844367,Neutral
5,Recurrence,55,153,0.5811603057315693,0.0009286665516841884,Resistance Associated
6,Baseline,35,87,0.6628493591749394,0.053014863085702954,Resistance Associated
7,Baseline,15,35,0.7135114477524823,0.3455921237058881,Resistance Associated
8,Baseline,43,40,1.8311862797011713,0.008389901906642586,Response Associated
9,Baseline,296,51,12.837487320527076,3.9902273747028084e-85,Response Associated
