SpectralDim_1,SpectralDim_2,SpectralDim_3,SpectralDim_4,SpectralDim_5,Spectral_Cluster
0.82075965,0.3487995,0.44768694,0.060986996,-0.02344071,1
0.82193285,0.3467571,0.4456486,0.06759782,-0.031840675,1
0.8476989,0.32050076,0.41641408,0.06313923,-0.03603536,1
0.7932035,0.35100293,0.49212617,0.009077072,0.07317531,1
0.82258207,0.3449263,0.44578278,0.06785031,-0.03253877,1
0.46668202,-0.049805608,-0.8605617,0.103759974,-0.16850708,4
0.4479598,-0.049944855,-0.86948943,0.11434285,-0.1665871,4
0.79740816,0.3682212,0.47692817,0.010223681,0.031438604,1
0.7957782,0.36480987,0.48155114,-0.015485664,0.038979765,1
0.8004115,0.36245775,0.476581,0.0036503472,0.028686665,1
0.82060224,0.34932807,0.447165,0.063118495,-0.025325947,1
0.8469634,0.32153523,0.41713095,0.06313511,-0.035830263,1
0.8227347,0.34571546,0.44495407,0.06761834,-0.032125823,1
0.79351187,0.35062847,0.49187595,0.009623911,0.073239066,1
0.44455513,-0.052506067,-0.8713694,0.11488182,-0.16471598,4
0.7993898,0.36297354,0.477784,0.00022257595,0.03080084,1
0.8366058,0.33419767,0.42866355,0.061844036,-0.028733445,1
0.4947562,-0.0313563,-0.8439034,0.11242255,-0.17152655,4
0.85116076,0.28786114,0.43557492,0.0487864,0.023573764,1
0.7916965,0.35184395,0.49566266,0.016246555,0.05896605,1
0.4715546,-0.049438026,-0.858202,0.10139918,-0.16852205,4
0.86927676,0.33103263,0.3603232,0.065142736,-0.026437188,1
0.7870561,0.35324588,0.5009292,0.0060916734,0.06922957,1
0.82342374,0.3455473,0.4451217,0.061524183,-0.02553114,1
0.8298243,0.33739963,0.4381201,0.0667349,-0.03391672,1
0.093368575,-0.0887005,-0.11139803,0.058087442,0.9836823,3
0.7991734,0.34764126,0.48454833,0.012206045,0.07437251,1
0.8497381,0.31865975,0.41377097,0.062317178,-0.03621129,1
0.4575464,-0.05259475,-0.867279,0.10874006,-0.15455684,4
0.26534453,-0.9356308,0.21334876,-0.01886779,-0.09117871,2
0.8153344,0.35284618,0.45478168,0.058911216,-0.020796204,1
0.845083,0.34027535,0.40665212,0.06401382,-0.024159662,1
0.902049,0.31160215,0.2893117,0.064956725,-0.035932064,1
0.46158934,-0.04860138,-0.86807686,0.11449403,-0.13381638,4
0.9463294,0.15045218,-0.28111202,-0.04495432,0.027929388,0
0.79715025,0.3691074,0.4763644,0.023248741,0.02911448,1
0.45688123,-0.054177217,-0.87054795,0.11092677,-0.13478127,4
0.8254337,0.34534147,0.4410017,0.0645772,-0.027308475,1
0.821765,0.34666556,0.4460009,0.06772624,-0.03196422,1
0.85983694,0.31845105,0.39389822,0.05626523,-0.030786019,1
0.8007122,0.36214644,0.4761097,0.0039828243,0.031836428,1
0.44782257,-0.051500984,-0.8702663,0.11529469,-0.16169798,4
0.45402458,-0.043926112,-0.8641281,0.10274029,-0.1861698,4
0.7908519,0.35248792,0.49503657,0.0077725654,0.071999624,1
0.785916,0.35413742,0.5022914,0.004608416,0.06786011,1
0.8377474,0.33003718,0.42874342,0.06511859,-0.034547295,1
0.8027313,0.35911915,0.4742298,0.006767618,0.041427463,1
0.85754436,0.315317,0.40105405,0.05645757,-0.034075327,1
0.446111,-0.05003642,-0.8703435,0.115377754,-0.16634767,4
0.84051424,0.3291785,0.42466766,0.061978597,-0.03151746,1
0.7915039,0.35206243,0.49461448,0.006276521,0.069934234,1
0.8227431,0.34521392,0.4452562,0.06786987,-0.03258331,1
0.8485337,0.3407936,0.3991377,0.063543536,-0.022396868,1
0.4598728,-0.05028703,-0.86359066,0.107443586,-0.16927893,4
0.8537026,0.33921963,0.38927034,0.06390112,-0.022520134,1
0.85493743,0.3149696,0.4059149,0.061209664,-0.036914356,1
0.7982725,0.34863666,0.48456803,0.011224979,0.07925569,1
0.4475656,-0.049895655,-0.8692004,0.11136569,-0.17112467,4
0.83946526,0.31975022,0.4327905,0.06625019,-0.036895186,1
0.8315624,0.33449015,0.4369689,0.06688567,-0.034710277,1
0.83541834,0.33465633,0.4306774,0.061407544,-0.02876428,1
0.46151868,-0.04923607,-0.86324203,0.10744758,-0.16686675,4
0.26295185,-0.93604213,0.21271904,-0.019015813,-0.09523858,2
0.9365091,0.14499506,-0.3158294,-0.039390743,0.025044186,0
0.7882164,0.3515427,0.50043625,0.005641657,0.068296045,1
0.45409003,-0.049467973,-0.86853385,0.11370138,-0.15516481,4
0.82974166,0.34021935,0.4367939,0.06446924,-0.02888505,1
0.82496536,0.34323448,0.44270664,0.067508645,-0.032798596,1
0.27074933,-0.93571705,0.21195994,-0.017891921,-0.07669004,2
0.26292425,-0.9360324,0.21274751,-0.01902426,-0.09534442,2
0.4629492,-0.049880415,-0.8620656,0.10634634,-0.16947946,4
0.45449102,-0.044060107,-0.8640303,0.10265129,-0.18550178,4
0.7857494,0.3545259,0.5021961,0.0038852878,0.06850782,1
0.79761356,0.34652853,0.48898444,0.013845331,0.066581115,1
0.82229084,0.34634605,0.4455145,0.066790156,-0.030627262,1
0.47765523,-0.04768963,-0.8649707,0.11426213,-0.09132969,4
0.81818527,0.35077605,0.45119664,0.059303533,-0.02082471,1
0.8323809,0.32426992,0.443015,0.066887446,-0.035425138,1
0.8819255,0.2817723,0.370878,0.058086786,-0.043441657,1
0.79051405,0.35163268,0.49745876,0.015454174,0.061137896,1
0.46161667,-0.046615098,-0.86652905,0.10928301,-0.14806025,4
0.7877578,0.354512,0.49892002,0.004549372,0.06940413,1
0.8118141,0.35592952,0.46178523,0.021864856,0.023417877,1
0.8218863,0.34690237,0.44599655,0.066067524,-0.02972834,1
0.6850288,-0.52878416,0.32939744,0.043776184,0.3751052,2
0.8826317,0.32360983,0.3332271,0.0654437,-0.030246941,1
0.82309073,0.34574538,0.44481564,0.0652577,-0.029363733,1
0.45692348,-0.0434223,-0.8626412,0.10064417,-0.18723316,4
0.82657325,0.34275952,0.4406986,0.06485709,-0.02951027,1
0.82239074,0.34847638,0.44406387,0.065359764,-0.027806593,1
0.8515832,0.31685752,0.41137215,0.061967593,-0.036610372,1
0.8227718,0.34657472,0.44553357,0.0616999,-0.025012322,1
0.4601814,-0.05065318,-0.86445415,0.1073958,-0.16386719,4
0.84227365,0.3277725,0.422376,0.06086531,-0.032159485,1
0.8252227,0.3422991,0.4429553,0.06737188,-0.033025034,1
0.4453767,-0.05090064,-0.87022513,0.11447367,-0.16927105,4
0.79549766,0.36502683,0.48160878,-0.018281952,0.040715378,1
0.594102,0.0055629066,-0.7784658,0.10746972,-0.17161942,4
0.44444507,-0.051493127,-0.8705011,0.11444507,-0.17013854,4
0.81792545,0.35060632,0.451425,0.060692262,-0.02459672,1
0.555316,-0.057865746,-0.8095565,0.0700185,-0.16730678,4
0.8415619,0.32838756,0.4226345,0.06426616,-0.03442614,1
0.8513318,0.31660303,0.41204295,0.06226416,-0.036615867,1
0.8223237,0.34601346,0.44548953,0.06761861,-0.032017555,1
0.43542242,-0.062986895,-0.8884515,0.12773451,-0.02788951,4
0.9187135,0.30623892,0.24744985,0.02977537,-0.008082233,1
0.8220509,0.34599048,0.4460297,0.06747373,-0.032058172,1
0.26254117,-0.93603927,0.21312231,-0.019083329,-0.09548521,2
0.8240021,0.34521094,0.44403937,0.06307597,-0.026464222,1
